videoId,playlist_id,brand,title,viewCount,likeCount,commentCount,publishedAt,duration_seconds
VrQ-19ASeyM,PLlvsaB0FDEJG4o9DNYvXjEFh4GW1Am_Ow,RENAULT,RENAULT 4 E-Tech 2025 - les premières infos,7600,156,4,2024-10-15 22:30:06+00:00,196
z1KOrVKYBnU,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,VOLVO,VOLVO EX30 2024 : lancement au Maroc,6279,81,5,2024-10-07 22:15:26+00:00,224
4RfxTXkjnpI,OFF_PLAYLIST,GEELY,Nouveau showroom GEELY à Marrakech,921,7,0,2024-09-26 17:30:19+00:00,39
nh0wYLGECr4,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,DACIA,DACIA Jogger Maroc : les premières infos,24541,177,6,2024-09-22 21:30:31+00:00,187
BJvMXDf-a-8,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,JAECOO,OMODA & JAECOO arrivent au Maroc,21701,212,13,2024-09-19 23:00:06+00:00,330
IMW9QzzU7yI,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,NISSAN,NISSAN Daring Africa 2024,1872,105,1,2024-09-18 21:30:06+00:00,288
fcojFtLtMBM,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,AUDI,"Nouveaux AUDI Q7, Q8 et A1 débarquent au Maroc",6750,168,11,2024-09-15 21:30:07+00:00,340
eXTlTv02Gec,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,AUDI,Nouvelle AUDI A1 Sportback - le spot TV,4425,13,0,2024-09-14 14:30:28+00:00,18
Iid8AT7DVZY,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,ŠKODA,"ŠKODA Fabia, Scala et Kamiq 2024 Maroc",14073,161,10,2024-09-08 21:30:06+00:00,333
vo2Uc76_ncw,PLlvsaB0FDEJG0eoTrNpNKZXLLlXKiEmE-,CUPRA,CUPRA Terramar 2025 - les premières infos,9572,139,1,2024-09-05 21:30:06+00:00,201
8FI7pIzanqQ,PLlvsaB0FDEJG0eoTrNpNKZXLLlXKiEmE-,AUDI,Nouvel AUDI Q5 2025 : les premières infos,42458,308,8,2024-09-02 21:30:07+00:00,237
sbpogWQxjIM,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,KIA,KIA EV5 débarque au Maroc - الإطلاق الرسمي بالمغرب,9602,138,12,2024-09-01 21:30:07+00:00,360
nfTPudBgOxQ,PLlvsaB0FDEJG0eoTrNpNKZXLLlXKiEmE-,PORSCHE,Nouvelle PORSCHE 911 Cabriolet – le clip officiel,637,5,1,2024-08-15 18:45:00+00:00,58
2eGs642CWwc,PLlvsaB0FDEJG0eoTrNpNKZXLLlXKiEmE-,PORSCHE,PORSCHE 718 Cayman – le clip officiel,1221,6,0,2024-08-14 22:30:18+00:00,119
I6nJU8Xhjck,PLlvsaB0FDEJG0eoTrNpNKZXLLlXKiEmE-,PORSCHE,PORSCHE 718 Boxster – le clip officiel,687,7,0,2024-08-14 22:20:59+00:00,87
qQ0Q_P4YF70,PLlvsaB0FDEJG0eoTrNpNKZXLLlXKiEmE-,GEELY,GEELY Galaxy E5 2025 - le clip officiel,2113,15,1,2024-08-10 13:14:21+00:00,209
3JHRC9PWvhY,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,BMW,Le tout premier BMW XM : le clip officiel,1980,7,0,2024-08-08 22:36:18+00:00,67
